CustomerID,Gender,Age,MonthlyCharges,ContractType,TenureMonths,PaymentMethod,SupportCalls,SatisfactionScore,Churn
C00001,Male,20.0,41.38,Monthly,16,Credit Card,5,6.0,No
C00002,Female,24.0,45.75,Two-Year,3,Cash,1,7.0,No
C00003,Female,42.0,34.32, Monthly ,4,Credit Card,2,5.0,No
C00004,Female,23.0,36.59,Monthly,6,,3,4.0,No
C00005,Male,51.0,66.38,Two-Year,13,Credit Card,1,6.0,No
C00006,Male,37.0,57.93,Monthly,21,Bank Transfer,5,6.0,No
C00007,Male,39.0,68.12,Monthly,10,Bank Transfer,5,5.0,Yes
C00008,Female,34.0,60.12,Monthly,2,Cash,0,7.0,Yes
C00009,Female,47.0,74.96,Monthly,8,E-Wallet,2,9.0,No
C00010,Female,47.0,81.06,Monthly,2,Bank Transfer,2,,Yes
C00011,Male,42.0,24.93,Monthly,2,,1,8.0,No
C00012,Female,44.0,,Monthly,11,Bank Transfer,2,10.0,No
C00013,Female,35.0,49.2,Yearly,38,Credit Card,4,8.0,No
C00014,Male,44.0,54.04,Monthly,22,E-Wallet,4,7.0,No
C00015,Male,33.0,40.39,Yearly,18,Bank Transfer,2,7.0,No
C00016,Male,38.0,82.3,Monthly,16,Bank Transfer,2,8.0,No
C00017,Male,34.0,133.08,Monthly,28,Credit Card,2,1.0,Yes
C00018,Female,32.0,59.37,Monthly,17,E-Wallet,3,,Yes
C00019,Male,29.0,56.71,Monthly,12,Credit Card,1,,No
C00020,Male,43.0,80.02,Monthly,6,Credit Card,2,7.0,No
C00021,Female,53.0,23.58,Monthly,2,E-Wallet,5,,No
C00022,Male,52.0,55.3,Two-Year,8,Credit Card,2,6.0,No
C00023,Male,,84.82,Monthly,32,Bank Transfer,4,5.0,No
C00024,Male,53.0,40.88,Monthly,11,E-Wallet,1,4.0,Yes
C00025,Male,200.0,31.44,Monthly,3,E-Wallet,2,6.0,Yes
C00026,Female,45.0,50.22,Yearly,13,E-Wallet,3,5.0,No
C00027,Male,27.0,53.13,Monthly,8,E-Wallet,5,7.0,No
C00028,F,39.0,,Yearly,33,Credit Card,1,8.0,No
C00029,Female,41.0,140.23,Monthly,3,Cash,3,4.0,No
C00030,Male,20.0,44.02,Monthly,15,Credit Card,4,8.0,Yes
C00031,Female,45.0,32.49,Monthly,14,Credit Card,1,1.0,No
C00032,Male,54.0,52.35,Yearly,50,Credit Card,1,9.0,Yes
C00033,Male,35.0,82.15,Monthly,10,Cash,1,5.0,No
C00034,Female,54.0,55.03,Monthly,25,Bank Transfer,3,9.0,No
C00035,Female,35.0,67.93,Monthly,1,Credit Card,2,5.0,No
C00036,Female,48.0,36.89,Monthly,2,Credit Card,3,7.0,No
C00037,Male,18.0,106.64,Monthly,6,,0,5.0,No
C00038,Male,67.0,70.3,Monthly,12,,4,8.0,Yes
C00039,Female,,87.48,Monthly,8,Credit Card,8,5.0,No
C00040,Male,34.0,64.35,Two-Year,3,Bank Transfer,7,3.0,Yes
C00041,Male,18.0,79.14,Monthly,11,E-Wallet,2,8.0,No
C00042,Male,41.0,36.86,Monthly,11,Bank Transfer,2,5.0,No
C00043,Male,20.0,43.77,Monthly,9,E-Wallet,4,10.0,Yes
